Zone,Time period,Total,Total time,Average,< 15 mins,15 - 30,30 - 45,45 - 60,60 - 90,over 90
zone 1,Early       ,39264,834366,21.25,14572,17281,5587,1386,438,0
zone 1,AM peak     ,450104,7513814,16.69,227325,186291,30844,4541,1096,7
zone 1,Midday      ,661274,12360509,18.69,286001,288269,68057,15399,3508,40
zone 1,PM Peak     ,857135,18383070,21.45,288471,383023,149491,31683,4432,36
zone 1,Evening     ,375597,8190328,21.81,111467,185279,64875,12337,1620,18
zone 1,Late        ,156437,3546202,22.67,42212,78275,29715,5301,935,0
zone 1,   Total day,2539811,50828288,20.01,970048,1138419,348570,70647,12027,101
zone 2,Early       ,54864,1427162,26.01,10289,27089,13307,3104,1072,4
zone 2,AM peak     ,405867,8759169,21.58,107239,224544,64350,7694,2038,1
zone 2,Midday      ,310985,6623268,21.3,95644,156708,47018,8845,2730,40
zone 2,PM Peak     ,340223,7832882,23.02,100358,156429,59823,18980,4629,3
zone 2,Evening     ,133463,2937381,22.01,46290,55694,23657,6470,1352,0
zone 2,Late        ,57325,1293207,22.56,18689,23552,11568,2968,549,1
zone 2,   Total day,1302728,28873069,22.16,378510,644016,219723,48060,12370,49
zone 3,Early       ,53159,1704656,32.07,5237,19092,20440,6898,1347,145
zone 3,AM peak     ,210045,5790869,27.57,26487,101442,67787,11984,2344,2
zone 3,Midday      ,120532,3189889,26.47,26461,51615,31475,8236,2513,232
zone 3,PM Peak     ,87930,2318048,26.36,23360,32387,21200,8333,2636,14
zone 3,Evening     ,30978,761341,24.58,10381,10510,6928,2482,673,5
zone 3,Late        ,9451,237800,25.16,2978,3319,2086,792,275,0
zone 3,   Total day,512095,14002603,27.34,94904,218366,149916,38725,9788,397
zone 4,Early       ,36362,1418715,39.02,1673,8148,14452,9299,2638,152
zone 4,AM peak     ,118893,3917362,32.95,10890,33912,55871,14913,3213,93
zone 4,Midday      ,66875,2046057,30.6,12578,19914,23286,8208,2657,231
zone 4,PM Peak     ,48436,1407460,29.06,11756,15267,12878,6825,1641,70
zone 4,Evening     ,17029,464273,27.26,4653,6019,3772,1784,776,25
zone 4,Late        ,6022,191628,31.82,1457,1609,1425,1164,367,0
zone 4,   Total day,293617,9445496,32.17,43007,84869,111684,42194,11293,570
zone 5,Early       ,27692,1289474,46.57,1334,3776,6859,9574,6044,105
zone 5,AM peak     ,93941,3742361,39.84,8328,17035,31395,27577,9492,114
zone 5,Midday      ,56787,2078860,36.61,9291,13340,14485,11956,7417,298
zone 5,PM Peak     ,40734,1435070,35.23,7303,11081,9566,7620,4857,307
zone 5,Evening     ,13075,454452,34.76,2384,3959,2829,1966,1843,94
zone 5,Late        ,4417,145232,32.88,1044,1192,848,870,439,24
zone 5,   Total day,236646,9145449,38.65,29684,50382,65983,59564,30092,942
,,,,,,,,,,
System total,Early       ,211342,6674373,31.58,33105,75386,60645,30261,11538,406
System total,AM peak     ,1278850,29723575,23.24,380269,563224,250248,66709,18183,216
System total,Midday      ,1216453,26298583,21.62,429975,529846,184321,52644,18825,842
System total,PM Peak     ,1374459,31376530,22.83,431248,598187,252958,73441,18195,430
System total,Evening     ,570141,12807775,22.46,175175,261461,102061,25040,6264,141
System total,Late        ,233652,5414068,23.17,66380,107947,45642,11094,2565,24
System total,   Total day,4884898,112294905,22.99,1516152,2136051,895876,259189,75570,2059
