 RODS report2d created at 13:27:39 on 29-03-2017,,,,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
" Report 2d - Analysis by age, sex and zone",,,,,Sex,Age,,,,,,,,,
 station name,time period,Total,Male,Female,Not stated,Not Stated,Under 16  ,16-19     ,20-24     ,25-34     ,35-44     ,45-59     ,60-64     ,65-70     ,Over 70   
zone 1,Early       ,63318,79,74,63165,63162,0,11,2,47,20,39,38,0,0
zone 1,AM peak     ,854592,363828,411749,79014,74065,1254,10742,91847,232301,167361,188900,57008,22115,9000
zone 1,Midday      ,721944,315548,361895,44501,44153,732,31048,122188,131725,100968,164373,53009,42131,31618
zone 1,PM Peak     ,583032,248929,287263,46839,45890,1028,13842,77564,117749,98776,152323,36789,24689,14383
zone 1,Evening     ,231345,99003,110980,21361,20779,242,4632,33943,62717,42542,50196,8239,5229,2824
zone 1,Late        ,90965,32808,26649,31507,31258,22,1924,10381,18644,10320,13221,2357,2192,646
zone 1,   Total day,2545197,1060197,1198611,286388,279306,3277,62199,335926,563182,419988,569053,157439,96355,58471
zone 2,Early       ,32281,262,51,31968,31944,0,2,33,39,38,203,7,14,0
zone 2,AM peak     ,300695,114048,143417,43230,41719,845,5143,29194,80425,55627,64078,15318,6229,2117
zone 2,Midday      ,277311,103461,138829,35020,33789,578,13224,44104,56091,42103,51332,13966,12989,9134
zone 2,PM Peak     ,362234,117025,191077,54132,54038,974,11823,54995,99476,59553,58216,11433,7030,4696
zone 2,Evening     ,218723,79455,115233,24035,23346,222,3471,42080,73147,36451,32202,3944,2791,1068
zone 2,Late        ,97431,30485,32099,34847,34476,73,1297,14047,25389,10186,9434,1479,609,440
zone 2,   Total day,1288674,444737,620707,223231,219312,2692,34961,184453,334567,203958,215465,46148,29663,17456
zone 3,Early       ,7728,36,4,7689,7689,0,9,10,13,2,6,0,0,0
zone 3,AM peak     ,69228,24245,35268,9715,9190,510,2629,8130,17316,11592,13243,4117,1444,1059
zone 3,Midday      ,99952,40755,53158,6039,6073,316,6685,19405,19390,13990,18298,6191,5408,4196
zone 3,PM Peak     ,193816,69523,111305,12988,13090,555,7872,35415,47780,35700,41755,5982,3365,2302
zone 3,Evening     ,107393,40714,59095,7583,7131,153,2824,19727,31649,19973,22006,1908,1245,775
zone 3,Late        ,51504,18747,17664,15093,15121,123,902,7897,13753,6835,5591,763,294,225
zone 3,   Total day,529622,194020,276495,59107,58294,1656,20921,90584,129902,88091,100899,18962,11757,8556
zone 4,Early       ,4389,22,54,4313,4313,0,0,51,4,5,15,0,0,0
zone 4,AM peak     ,42479,14771,20959,6749,6503,449,1459,4301,8429,7171,9019,2948,1719,481
zone 4,Midday      ,56040,22054,27741,6246,6562,185,4269,6892,7353,8457,11169,4317,3230,3606
zone 4,PM Peak     ,109706,38578,57515,13613,13709,336,5298,15053,21112,17932,27385,3513,3267,2101
zone 4,Evening     ,55276,20827,27417,7033,6753,196,1788,8069,11679,11193,12850,1431,689,627
zone 4,Late        ,22843,7777,7406,7659,7534,41,555,2518,4131,3544,3434,499,345,242
zone 4,   Total day,290733,104029,141091,45612,45373,1207,13369,36885,52709,48302,63871,12709,9250,7058
zone 5,Early       ,4070,18,16,4036,4050,0,3,0,5,2,10,0,0,0
zone 5,AM peak     ,34685,12526,15979,6180,5789,118,2656,3279,7812,5192,5937,2017,1126,758
zone 5,Midday      ,47789,19171,23646,4972,5531,257,3735,4811,6337,5958,10493,4041,3096,3529
zone 5,PM Peak     ,83984,33342,41890,8752,8742,564,4483,8756,12373,15086,24450,5067,2345,2118
zone 5,Evening     ,42654,18604,18064,5986,5799,39,560,4229,9557,7650,11844,1644,1006,326
zone 5,Late        ,17490,4747,5060,7682,7747,3,228,1032,2358,2133,2961,379,370,279
zone 5,   Total day,230672,88407,104655,37610,37658,981,11665,22108,38442,36022,55695,13149,7942,7010
,,,,,,,,,,,,,,,
System total,Early       ,111786,416,199,111171,111159,0,25,96,107,67,272,45,14,0
System total,AM peak     ,1301680,529419,627373,144888,137264,3176,22630,136751,346283,246942,281177,81409,32633,13414
System total,Midday      ,1203037,500989,605269,96779,96109,2068,58961,197401,220895,171476,255665,81524,66854,52083
System total,PM Peak     ,1332772,507398,689050,136324,135469,3456,43318,191782,298489,227047,304129,62785,40696,25601
System total,Evening     ,655391,258603,330790,65998,63808,853,13276,108049,188750,117809,129098,17166,10960,5621
System total,Late        ,280233,94565,88879,96789,96135,261,4905,35876,64276,33018,34641,5477,3809,1833
