 RODS report2a created at 13:27:27 on 29-03-2017,,,,,,,,,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 Report 2a - Analysis by journey purpose and exit zone,,,,,,,,,,,,,,,,,,,,
,,Total,Home to,Work to,Origin Purpose,,,,,,,,Destination Purpose,,,,,,,
Zone,Time period,all modes,Work,Home,Home                ,Work                ,Shop                ,Education           ,Tourist             ,Hotel               ,Other               ,Unknown/Not Given   ,Home                ,Work                ,Shop                ,Education           ,Tourist             ,Hotel               ,Other               ,Unknown/Not Given
zone 1,Early       ,63318,119,20,124,20,0,0,0,6,4,63164,20,128,0,0,0,1,8,63161
zone 1,AM peak     ,854592,648627,8980,711483,30510,463,5701,420,16778,17309,71928,15439,694213,3107,27136,3876,2111,33234,75476
zone 1,Midday      ,721944,125729,35274,344209,147917,23182,28366,12880,34917,89627,40847,94030,234302,56663,57775,30662,19660,181569,47283
zone 1,PM Peak     ,583032,25283,189732,119930,293301,14365,26514,10348,9882,62316,46376,252712,61110,19322,19020,5587,23853,149784,51645
zone 1,Evening     ,231345,13679,83056,42745,105119,4489,10355,1857,3469,41538,21773,128687,19224,3101,2545,935,6633,48150,22070
zone 1,Late        ,90965,3568,14166,6983,16353,316,1688,335,751,32721,31820,43034,4906,24,686,618,4833,5321,31543
zone 1,   Total day,2545197,817005,331227,1225473,593220,42816,72624,25840,65802,243514,275907,533921,1013883,82217,107162,41677,57092,418066,291179
zone 2,Early       ,32281,281,8,318,12,0,0,0,0,8,31943,10,289,0,2,0,0,5,31975
zone 2,AM peak     ,300695,205683,6150,232400,14358,194,2480,43,3693,6667,40861,10606,220842,1309,12793,494,608,10064,43981
zone 2,Midday      ,277311,40471,26083,110659,59331,13114,18071,3802,5296,34136,32901,73227,69927,17106,19682,4721,4066,52215,36366
zone 2,PM Peak     ,362234,10585,148037,45407,184721,11621,26534,3331,1947,33845,54828,210308,20762,7548,7491,1311,7952,50824,56038
zone 2,Evening     ,218723,5325,101455,21933,113166,6103,13952,446,1222,38598,23303,155578,7924,1434,1503,84,4547,23287,24366
zone 2,Late        ,97431,1496,19975,3273,21110,394,2516,155,737,34701,34544,56362,2130,223,50,40,812,2959,34856
zone 2,   Total day,1288674,263842,301709,413990,392699,31426,63553,7778,12895,147955,218379,506090,321874,27619,41521,6650,17984,139354,227581
zone 3,Early       ,7728,16,0,29,0,0,0,0,0,1,7698,1,16,0,0,0,0,0,7711
zone 3,AM peak     ,69228,40352,4427,49734,6669,169,1220,11,524,1863,9039,6478,43548,450,5124,54,118,3328,10128
zone 3,Midday      ,99952,10015,18046,33162,27397,5746,9849,918,1350,15623,5908,43577,16991,6416,6079,926,1714,16360,7889
zone 3,PM Peak     ,193816,4548,105637,16128,120251,5815,17131,1888,908,18120,13575,142674,8415,2731,4666,176,4936,15593,14626
zone 3,Evening     ,107393,2277,59861,7271,63908,2723,7236,285,739,18336,6895,87277,3191,699,355,16,1046,7179,7629
zone 3,Late        ,51504,400,14078,1447,14510,836,1955,70,226,17168,15292,33869,924,39,37,0,262,1420,14954
zone 3,   Total day,529622,57608,202048,107770,232736,15289,37391,3172,3747,71110,58407,313876,73085,10335,16261,1172,8075,43881,62937
zone 4,Early       ,4389,54,22,54,22,0,0,0,0,0,4313,22,54,0,0,0,0,0,4313
zone 4,AM peak     ,42479,24493,2282,30169,3330,69,834,31,228,1430,6387,3805,26391,388,2770,122,231,2044,6728
zone 4,Midday      ,56040,5552,8844,18095,13761,3597,5725,377,940,7741,5804,23367,9539,2941,2643,561,1342,8766,6881
zone 4,PM Peak     ,109706,1942,58788,9353,65214,2733,8990,446,886,8006,14077,78234,3151,734,1573,80,2337,8278,15317
zone 4,Evening     ,55276,1247,29934,4031,32037,1003,3308,114,169,7986,6629,41878,1954,159,273,0,731,3094,7188
zone 4,Late        ,22843,222,6631,507,7112,290,748,26,122,6390,7647,13794,679,50,53,0,161,598,7508
zone 4,   Total day,290733,33510,106500,62208,121474,7693,19606,995,2346,31554,44857,161100,41768,4272,7312,763,4802,22780,47935
zone 5,Early       ,4070,10,14,12,21,0,0,0,0,0,4036,14,10,0,3,0,0,0,4044
zone 5,AM peak     ,34685,19474,1927,25186,2634,29,304,0,293,844,5395,2498,20881,760,3035,149,146,1592,5625
zone 5,Midday      ,47789,5191,7389,18151,10596,3062,3932,284,1162,6586,4016,17807,7892,3670,2548,428,1159,9213,5071
zone 5,PM Peak     ,83984,1963,47228,7415,51818,2283,5469,347,570,7523,8558,61601,3991,1079,800,47,923,6428,9116
zone 5,Evening     ,42654,1097,22379,3706,24357,905,1670,302,508,5330,5876,30496,1587,92,229,18,878,2885,6469
zone 5,Late        ,17490,101,3945,265,4199,76,265,7,284,4779,7614,9072,293,0,7,0,27,385,7706
zone 5,   Total day,230672,27835,82882,54735,93627,6355,11641,940,2817,25062,35495,121487,34655,5601,6622,642,3134,20502,38030
,,,,,,,,,,,,,,,,,,,,
System total,Early       ,111786,479,63,537,75,0,0,0,6,13,111154,66,496,0,5,0,1,13,111204
System total,AM peak     ,1301680,938629,23766,1048971,57502,923,10540,505,21515,28113,133610,38825,1005876,6013,50858,4694,3213,50262,141938
System total,Midday      ,1203037,186959,95636,524275,259002,48701,65943,18261,43666,153712,89476,252009,338651,86795,88728,37298,27941,268124,103491
System total,PM Peak     ,1332772,44321,549422,198233,715305,36818,84639,16360,14194,129810,137414,745529,97430,31414,33549,7200,40001,230907,146742
System total,Evening     ,655391,23626,296685,79687,338587,15224,36521,3004,6106,111788,64476,443916,33880,5485,4905,1053,13835,84596,67721
System total,Late        ,280233,5787,58795,12474,63284,1913,7173,594,2119,95759,96917,156129,8932,336,833,658,6095,10682,96566
 ,Total day,4884899,1199801,1024367,1864177,1433755,103579,204816,38724,87606,519195,633047,1636474,1485265,130043,178878,50903,91086,644584,667662
,Percentage,,24.56%,20.97%,38.16%,29.35%,2.12%,4.19%,0.79%,1.79%,10.63%,12.96%,33.50%,30.41%,2.66%,3.66%,1.04%,1.86%,13.20%,13.67%
,,,,,,,,,,,,,,,,,,,,
 End of report,,,,,,,,,,,,,,,,,,,,
