 RODS report2b created at 13:27:32 on 29-03-2017,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,
 ,,,,,,,
 Report 2b - Analysis by ticket type and zone,,,,,,,
Zone,Time period,Daily (inc T/Card)  ,Weekly              ,Periods             ,All Permits         ,Not Stated /Other    ,Total all types
zone 1,Early       ,70,49,37,1,63161,63318
zone 1,AM peak     ,289734,173965,268803,16022,106069,854592
zone 1,Midday      ,394272,121301,113742,42665,49964,721944
zone 1,PM Peak     ,262025,109316,130510,29105,52076,583032
zone 1,Evening     ,103663,42437,53860,7948,23437,231345
zone 1,Late        ,30556,11659,14103,2966,31682,90965
zone 1,   Total day,1080320,458728,581055,98707,326389,2545197
zone 2,Early       ,53,223,47,14,31944,32281
zone 2,AM peak     ,87551,70068,84347,6394,52335,300695
zone 2,Midday      ,120426,52729,43973,22854,37328,277311
zone 2,PM Peak     ,122130,81375,86861,14389,57479,362234
zone 2,Evening     ,72577,51718,62857,6262,25308,218723
zone 2,Late        ,26381,15622,17625,2806,34997,97431
zone 2,   Total day,429118,271735,295711,52720,239392,1288674
zone 3,Early       ,7,19,13,0,7689,7728
zone 3,AM peak     ,19201,19652,16674,1895,11806,69228
zone 3,Midday      ,42195,19235,18969,12352,7202,99952
zone 3,PM Peak     ,60078,57313,54407,8885,13133,193816
zone 3,Evening     ,33768,28376,33751,3773,7724,107393
zone 3,Late        ,13761,9737,11674,1381,14952,51504
zone 3,   Total day,169011,134332,135489,28286,62505,529622
zone 4,Early       ,37,12,27,0,4313,4389
zone 4,AM peak     ,13561,9328,9501,1301,8788,42479
zone 4,Midday      ,22993,7893,8965,9208,6982,56041
zone 4,PM Peak     ,40281,21166,27035,7146,14077,109705
zone 4,Evening     ,21070,8857,15584,2446,7320,55276
zone 4,Late        ,6636,2762,4553,954,7938,22843
zone 4,   Total day,104578,50018,65664,21055,49418,290733
zone 5,Early       ,4,1,7,22,4037,4070
zone 5,AM peak     ,12536,5690,7677,1345,7437,34685
zone 5,Midday      ,23253,4470,6131,8632,5303,47789
zone 5,PM Peak     ,39038,10066,19641,6150,9090,83984
zone 5,Evening     ,18456,5477,10449,2164,6108,42654
zone 5,Late        ,5884,769,2043,907,7886,17490
zone 5,   Total day,99171,26473,45947,19221,39860,230672
,,,,,,,
System total,Early       ,171,303,131,36,111144,111786
System total,AM peak     ,422583,278703,387001,26957,186435,1301680
System total,Midday      ,603138,205628,191781,95711,106779,1203038
System total,PM Peak     ,523552,279236,318454,65676,145854,1332771
System total,Evening     ,249534,136866,176501,22594,69896,655390
System total,Late        ,83218,40549,49997,9014,97455,280233
